Agent DT2 issued deposit	 of $506.00	at:09/15/2024 22:21:57 EDT	Transaction Number : 1
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1961
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1970
Agent DT4 issued deposit	 of $584.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1972
Agent WT7 issued withdrawal	 of $92.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1975
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1984
Agent WT2 issued withdrawal	 of $92.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 1985
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 2011
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:37:31 EDT	Transaction Number : 2019
Agent DT2 issued deposit	 of $492.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2053
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2065
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2066
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2069
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2076
Agent DT4 issued deposit	 of $476.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2079
Agent DT5 issued deposit	 of $478.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2086
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2090
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2093
Agent WT4 issued withdrawal	 of $97.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2103
Agent DT2 issued deposit	 of $494.00	at:09/15/2024 23:37:32 EDT	Transaction Number : 2105
Agent WT7 issued withdrawal	 of $90.00	at:09/15/2024 23:37:33 EDT	Transaction Number : 2119
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:37:33 EDT	Transaction Number : 2120
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:33 EDT	Transaction Number : 2132
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:37:33 EDT	Transaction Number : 2134
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:37:33 EDT	Transaction Number : 2136
Agent DT2 issued deposit	 of $497.00	at:09/15/2024 23:37:34 EDT	Transaction Number : 2188
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:37:34 EDT	Transaction Number : 2191
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:37:34 EDT	Transaction Number : 2200
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:37:34 EDT	Transaction Number : 2220
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:37:34 EDT	Transaction Number : 2229
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:34 EDT	Transaction Number : 2254
Agent DT5 issued deposit	 of $481.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2312
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2324
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2332
Agent DT3 issued deposit	 of $527.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2336
Agent DT4 issued deposit	 of $518.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2347
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2356
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2363
Agent DT4 issued deposit	 of $480.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2383
Agent DT5 issued deposit	 of $488.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2393
Agent DT1 issued deposit	 of $453.00	at:09/15/2024 23:37:36 EDT	Transaction Number : 2400
Agent DT5 issued deposit	 of $483.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2417
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2420
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2425
Agent DT2 issued deposit	 of $532.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2439
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2441
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2468
Agent DT1 issued deposit	 of $564.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2467
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2472
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2473
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2488
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:37:37 EDT	Transaction Number : 2516
Agent WT2 issued withdrawal	 of $91.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2526
Agent WT9 issued withdrawal	 of $96.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2529
Agent WT6 issued withdrawal	 of $98.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2531
Agent DT4 issued deposit	 of $577.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2543
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2550
Agent DT1 issued deposit	 of $485.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2562
Agent WT6 issued withdrawal	 of $96.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2563
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2566
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2579
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2590
Agent WT1 issued withdrawal	 of $91.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2599
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:37:38 EDT	Transaction Number : 2621
Agent DT2 issued deposit	 of $484.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2625
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2631
Agent DT4 issued deposit	 of $503.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2632
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2639
Agent DT4 issued deposit	 of $538.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2642
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2643
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2647
Agent DT2 issued deposit	 of $533.00	at:09/15/2024 23:37:39 EDT	Transaction Number : 2651
Agent DT4 issued deposit	 of $511.00	at:09/15/2024 23:37:40 EDT	Transaction Number : 2661
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:40 EDT	Transaction Number : 2668
Agent WT7 issued withdrawal	 of $96.00	at:09/15/2024 23:37:40 EDT	Transaction Number : 2671
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:37:40 EDT	Transaction Number : 2678
Agent DT4 issued deposit	 of $452.00	at:09/15/2024 23:37:41 EDT	Transaction Number : 2693
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:37:41 EDT	Transaction Number : 2700
Agent DT5 issued deposit	 of $591.00	at:09/15/2024 23:37:41 EDT	Transaction Number : 2706
Agent DT2 issued deposit	 of $519.00	at:09/15/2024 23:37:41 EDT	Transaction Number : 2709
Agent DT4 issued deposit	 of $584.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2714
Agent WT10 issued withdrawal	 of $97.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2744
Agent WT2 issued withdrawal	 of $94.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2746
Agent DT1 issued deposit	 of $549.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2754
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2755
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2760
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2777
Agent WT6 issued withdrawal	 of $92.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2792
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:37:42 EDT	Transaction Number : 2802
Agent DT3 issued deposit	 of $573.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2814
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2817
Agent DT1 issued deposit	 of $599.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2827
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2831
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2843
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2844
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2850
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2859
Agent DT5 issued deposit	 of $524.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2864
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2865
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:37:43 EDT	Transaction Number : 2876
Agent DT5 issued deposit	 of $453.00	at:09/15/2024 23:37:44 EDT	Transaction Number : 2886
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:37:44 EDT	Transaction Number : 2894
Agent DT2 issued deposit	 of $565.00	at:09/15/2024 23:37:44 EDT	Transaction Number : 2896
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:37:44 EDT	Transaction Number : 2900
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:44 EDT	Transaction Number : 2906
Agent DT3 issued deposit	 of $541.00	at:09/15/2024 23:37:45 EDT	Transaction Number : 2913
Agent DT1 issued deposit	 of $540.00	at:09/15/2024 23:37:45 EDT	Transaction Number : 2914
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:37:45 EDT	Transaction Number : 2935
Agent DT3 issued deposit	 of $504.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 2958
Agent DT1 issued deposit	 of $503.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 2959
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 2961
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 2963
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 2969
Agent WT7 issued withdrawal	 of $95.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 2978
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 3029
Agent DT3 issued deposit	 of $518.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 3039
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 3040
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 3045
Agent DT1 issued deposit	 of $533.00	at:09/15/2024 23:37:46 EDT	Transaction Number : 3048
Agent WT2 issued withdrawal	 of $90.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3055
Agent WT2 issued withdrawal	 of $93.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3066
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3067
Agent DT5 issued deposit	 of $454.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3070
Agent WT3 issued withdrawal	 of $96.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3072
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3078
Agent DT3 issued deposit	 of $481.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3080
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3082
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3110
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:47 EDT	Transaction Number : 3121
Agent DT4 issued deposit	 of $513.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3132
Agent DT3 issued deposit	 of $544.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3133
Agent DT2 issued deposit	 of $474.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3137
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3152
Agent WT3 issued withdrawal	 of $94.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3181
Agent WT5 issued withdrawal	 of $94.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3183
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3188
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3192
Agent WT5 issued withdrawal	 of $91.00	at:09/15/2024 23:37:48 EDT	Transaction Number : 3205
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3220
Agent WT6 issued withdrawal	 of $90.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3221
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3228
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3242
Agent DT3 issued deposit	 of $467.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3255
Agent DT3 issued deposit	 of $557.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3269
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3279
Agent WT9 issued withdrawal	 of $95.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3297
Agent WT2 issued withdrawal	 of $95.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3312
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3327
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3336
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:37:49 EDT	Transaction Number : 3347
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3349
Agent DT3 issued deposit	 of $572.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3358
Agent DT1 issued deposit	 of $511.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3360
Agent DT4 issued deposit	 of $566.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3361
Agent WT7 issued withdrawal	 of $94.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3362
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3385
Agent WT10 issued withdrawal	 of $98.00	at:09/15/2024 23:37:50 EDT	Transaction Number : 3396
Agent WT1 issued withdrawal	 of $98.00	at:09/15/2024 23:37:51 EDT	Transaction Number : 3407
Agent DT3 issued deposit	 of $529.00	at:09/15/2024 23:37:51 EDT	Transaction Number : 3410
Agent DT2 issued deposit	 of $543.00	at:09/15/2024 23:37:51 EDT	Transaction Number : 3414
Agent WT8 issued withdrawal	 of $98.00	at:09/15/2024 23:37:51 EDT	Transaction Number : 3436
Agent DT4 issued deposit	 of $591.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3450
Agent DT4 issued deposit	 of $581.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3452
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3463
Agent WT8 issued withdrawal	 of $92.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3467
Agent WT8 issued withdrawal	 of $95.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3470
Agent DT2 issued deposit	 of $546.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3475
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3481
Agent WT2 issued withdrawal	 of $97.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3488
Agent WT7 issued withdrawal	 of $97.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3499
Agent DT1 issued deposit	 of $451.00	at:09/15/2024 23:37:52 EDT	Transaction Number : 3500
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:37:53 EDT	Transaction Number : 3523
Agent DT1 issued deposit	 of $540.00	at:09/15/2024 23:37:53 EDT	Transaction Number : 3524
Agent DT4 issued deposit	 of $581.00	at:09/15/2024 23:37:53 EDT	Transaction Number : 3527
Agent DT3 issued deposit	 of $521.00	at:09/15/2024 23:37:53 EDT	Transaction Number : 3539
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:37:53 EDT	Transaction Number : 3541
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:37:53 EDT	Transaction Number : 3563
Agent DT1 issued deposit	 of $518.00	at:09/15/2024 23:37:54 EDT	Transaction Number : 3604
Agent WT4 issued withdrawal	 of $93.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3618
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3636
Agent DT4 issued deposit	 of $521.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3644
Agent DT2 issued deposit	 of $568.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3647
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3648
Agent WT3 issued withdrawal	 of $93.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3662
Agent DT3 issued deposit	 of $570.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3664
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3675
Agent DT3 issued deposit	 of $581.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3677
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3679
Agent WT10 issued withdrawal	 of $93.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3683
Agent WT3 issued withdrawal	 of $91.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3698
Agent WT4 issued withdrawal	 of $94.00	at:09/15/2024 23:37:55 EDT	Transaction Number : 3701
Agent WT2 issued withdrawal	 of $98.00	at:09/15/2024 23:37:56 EDT	Transaction Number : 3723
Agent WT8 issued withdrawal	 of $96.00	at:09/15/2024 23:37:56 EDT	Transaction Number : 3742
Agent WT9 issued withdrawal	 of $94.00	at:09/15/2024 23:37:57 EDT	Transaction Number : 3764
Agent WT1 issued withdrawal	 of $90.00	at:09/15/2024 23:37:57 EDT	Transaction Number : 3771
Agent DT3 issued deposit	 of $469.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3798
Agent DT2 issued deposit	 of $472.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3818
Agent DT5 issued deposit	 of $595.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3831
Agent WT4 issued withdrawal	 of $92.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3832
Agent WT5 issued withdrawal	 of $93.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3835
Agent WT1 issued withdrawal	 of $94.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3843
Agent WT10 issued withdrawal	 of $90.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3848
Agent DT1 issued deposit	 of $513.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3855
Agent DT4 issued deposit	 of $455.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3861
Agent WT3 issued withdrawal	 of $95.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3867
Agent DT1 issued deposit	 of $469.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3870
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3885
Agent DT5 issued deposit	 of $453.00	at:09/15/2024 23:37:58 EDT	Transaction Number : 3887
Agent WT10 issued withdrawal	 of $96.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3921
Agent DT3 issued deposit	 of $467.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3925
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3931
Agent WT4 issued withdrawal	 of $90.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3933
Agent WT4 issued withdrawal	 of $98.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3940
Agent DT3 issued deposit	 of $557.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3946
Agent WT5 issued withdrawal	 of $98.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3948
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3956
Agent WT4 issued withdrawal	 of $91.00	at:09/15/2024 23:37:59 EDT	Transaction Number : 3957
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 3984
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 3986
Agent DT4 issued deposit	 of $469.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 3991
Agent WT5 issued withdrawal	 of $92.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 4004
Agent WT9 issued withdrawal	 of $98.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 4018
Agent WT8 issued withdrawal	 of $91.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 4030
Agent DT2 issued deposit	 of $455.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 4038
Agent WT7 issued withdrawal	 of $91.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 4041
Agent WT9 issued withdrawal	 of $93.00	at:09/15/2024 23:38:00 EDT	Transaction Number : 4043
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4078
Agent WT6 issued withdrawal	 of $93.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4086
Agent WT3 issued withdrawal	 of $97.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4116
Agent DT1 issued deposit	 of $490.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4124
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4126
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4135
Agent DT5 issued deposit	 of $487.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4137
Agent WT6 issued withdrawal	 of $97.00	at:09/15/2024 23:38:01 EDT	Transaction Number : 4138
Agent WT9 issued withdrawal	 of $91.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4146
Agent DT2 issued deposit	 of $598.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4149
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4154
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4157
Agent WT8 issued withdrawal	 of $97.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4180
Agent DT2 issued deposit	 of $485.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4196
Agent DT3 issued deposit	 of $597.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4197
Agent DT2 issued deposit	 of $578.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4199
Agent DT5 issued deposit	 of $577.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4202
Agent WT5 issued withdrawal	 of $90.00	at:09/15/2024 23:38:02 EDT	Transaction Number : 4204
Agent WT9 issued withdrawal	 of $90.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4220
Agent WT1 issued withdrawal	 of $95.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4221
Agent DT3 issued deposit	 of $487.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4241
Agent WT10 issued withdrawal	 of $94.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4246
Agent DT4 issued deposit	 of $596.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4257
Agent DT2 issued deposit	 of $564.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4268
Agent WT10 issued withdrawal	 of $92.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4270
Agent WT5 issued withdrawal	 of $95.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4308
Agent WT8 issued withdrawal	 of $93.00	at:09/15/2024 23:38:03 EDT	Transaction Number : 4320
Agent DT5 issued deposit	 of $506.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4345
Agent WT9 issued withdrawal	 of $92.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4350
Agent DT3 issued deposit	 of $507.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4351
Agent DT1 issued deposit	 of $600.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4369
Agent WT7 issued withdrawal	 of $98.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4370
Agent WT9 issued withdrawal	 of $97.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4378
Agent WT3 issued withdrawal	 of $92.00	at:09/15/2024 23:38:04 EDT	Transaction Number : 4393
Agent DT1 issued deposit	 of $557.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4410
Agent WT8 issued withdrawal	 of $94.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4412
Agent WT6 issued withdrawal	 of $91.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4414
Agent WT1 issued withdrawal	 of $92.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4417
Agent WT6 issued withdrawal	 of $95.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4422
Agent DT1 issued deposit	 of $510.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4440
Agent WT10 issued withdrawal	 of $91.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4459
Agent WT3 issued withdrawal	 of $90.00	at:09/15/2024 23:38:05 EDT	Transaction Number : 4465
Agent DT2 issued deposit	 of $460.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4491
Agent WT5 issued withdrawal	 of $96.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4498
Agent WT10 issued withdrawal	 of $95.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4507
Agent WT6 issued withdrawal	 of $94.00	at:09/15/2024 23:38:06 EDT	Transaction Number : 4508
